Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.0025,"[0, 0.0025)",509,0.783077,509,0.783077
1,0.0025,0.005,"[0.0025, 0.005)",52,0.08,561,0.863077
2,0.005,0.0075,"[0.005, 0.0075)",27,0.0415385,588,0.904615
3,0.0075,0.01,"[0.0075, 0.01)",17,0.0261538,605,0.930769
4,0.01,0.0125,"[0.01, 0.0125)",9,0.0138462,614,0.944615
5,0.0125,0.015,"[0.0125, 0.015)",4,0.00615385,618,0.950769
6,0.015,0.0175,"[0.015, 0.0175)",5,0.00769231,623,0.958462
7,0.0175,0.02,"[0.0175, 0.02)",4,0.00615385,627,0.964615
8,0.02,0.0225,"[0.02, 0.0225)",1,0.00153846,628,0.966154
9,0.0225,0.025,"[0.0225, 0.025)",0,0,628,0.966154
10,0.025,0.0275,"[0.025, 0.0275)",6,0.00923077,634,0.975385
11,0.0275,0.03,"[0.0275, 0.03)",2,0.00307692,636,0.978462
12,0.03,0.0325,"[0.03, 0.0325)",2,0.00307692,638,0.981538
13,0.0325,0.035,"[0.0325, 0.035)",0,0,638,0.981538
14,0.035,0.0375,"[0.035, 0.0375)",1,0.00153846,639,0.983077
15,0.0375,0.04,"[0.0375, 0.04)",1,0.00153846,640,0.984615
16,0.04,0.0425,"[0.04, 0.0425)",2,0.00307692,642,0.987692
17,0.0425,0.045,"[0.0425, 0.045)",1,0.00153846,643,0.989231
18,0.045,0.0475,"[0.045, 0.0475)",1,0.00153846,644,0.990769
19,0.0475,0.05,"[0.0475, 0.05)",6,0.00923077,650,1
