LWR	fract	aLWR	afract	taxopath
0	0	0.007428	1.168e-05	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces
0.007428	1.168e-05	0.007428	1.168e-05	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces;macroporosum
0	0	0.3935	0.0006187	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales
0	0	0.3935	0.0006187	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae
0.0003133	4.926e-07	0.3935	0.0006187	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis
0.3931	0.0006182	0.3931	0.0006182	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis;harderi
0	0	0.6602	0.001038	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Incertae_Sedis
0.342	0.0005378	0.6602	0.001038	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Incertae_Sedis;Incertae_Sedis
0.3109	0.000489	0.3182	0.0005004	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Incertae_Sedis;Incertae_Sedis;Catenomyces
0.007294	1.147e-05	0.007294	1.147e-05	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Incertae_Sedis;Incertae_Sedis;Catenomyces;persicinus
0	0	0.9996	0.001572	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales
0	0	0.9996	0.001572	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae
0.9994	0.001572	0.9996	0.001572	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella
0.0001961	3.083e-07	0.0001961	3.083e-07	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella;elegans
