Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.0025,"[0, 0.0025)",407,0.626154,407,0.626154
1,0.0025,0.005,"[0.0025, 0.005)",67,0.103077,474,0.729231
2,0.005,0.0075,"[0.005, 0.0075)",59,0.0907692,533,0.82
3,0.0075,0.01,"[0.0075, 0.01)",22,0.0338462,555,0.853846
4,0.01,0.0125,"[0.01, 0.0125)",21,0.0323077,576,0.886154
5,0.0125,0.015,"[0.0125, 0.015)",12,0.0184615,588,0.904615
6,0.015,0.0175,"[0.015, 0.0175)",15,0.0230769,603,0.927692
7,0.0175,0.02,"[0.0175, 0.02)",7,0.0107692,610,0.938462
8,0.02,0.0225,"[0.02, 0.0225)",5,0.00769231,615,0.946154
9,0.0225,0.025,"[0.0225, 0.025)",2,0.00307692,617,0.949231
10,0.025,0.0275,"[0.025, 0.0275)",1,0.00153846,618,0.950769
11,0.0275,0.03,"[0.0275, 0.03)",3,0.00461538,621,0.955385
12,0.03,0.0325,"[0.03, 0.0325)",2,0.00307692,623,0.958462
13,0.0325,0.035,"[0.0325, 0.035)",2,0.00307692,625,0.961538
14,0.035,0.0375,"[0.035, 0.0375)",0,0,625,0.961538
15,0.0375,0.04,"[0.0375, 0.04)",1,0.00153846,626,0.963077
16,0.04,0.0425,"[0.04, 0.0425)",0,0,626,0.963077
17,0.0425,0.045,"[0.0425, 0.045)",1,0.00153846,627,0.964615
18,0.045,0.0475,"[0.045, 0.0475)",0,0,627,0.964615
19,0.0475,0.05,"[0.0475, 0.05)",23,0.0353846,650,1
