Sample,Pquery,Weight,EDPL
epa_result,m54088_170216_085445_27853223_ccs_Otu00372_3_1588_bp,1,0
epa_result,m54088_170216_085445_35652237_ccs_Otu00212_8_1588_bp,1,0
epa_result,m54088_170216_085445_45089714_ccs_Otu00391_3_1588_bp,1,0.000477206
epa_result,m54088_170216_085445_52691947_ccs_Otu00207_8_1588_bp,1,0
epa_result,m54088_170216_085445_67305804_ccs_Otu00050_45_1588_bp,1,0
epa_result,m54088_170216_085445_73007549_ccs_Otu00557_2_1588_bp,1,0.0177223
epa_result,c-1330_conseq_Otu00083_24_1588_bp,1,0.00101461
epa_result,c-2001_conseq_Otu00239_7_1588_bp,1,0
epa_result,c-2505_conseq_Otu00046_47_1588_bp,1,0.000263651
epa_result,c-404_conseq_Otu00068_30_1588_bp,1,0.000201853
epa_result,c-5948_conseq_Otu00218_8_1588_bp,1,2.3201e-05
epa_result,c-786_conseq_Otu00440_3_1588_bp,1,0.00401157
epa_result,c-8582_conseq_Otu00283_5_1588_bp,1,0.0173065
epa_result,m54032_170210_154134_15795028_ccs_Otu00039_63_1588_bp,1,0.00146973
epa_result,m54032_170210_154134_30671731_ccs_Otu00560_2_1588_bp,1,0.00100449
epa_result,m54032_170210_154134_51118331_ccs_Otu00611_2_1588_bp,1,0.00378231
epa_result,m54032_170210_154134_58524441_ccs_Otu00538_2_1588_bp,1,0.00226214
epa_result,m54032_170210_154134_69206382_ccs_Otu00489_2_1588_bp,1,0
epa_result,m54088_170214_101554_20709485_ccs_Otu00580_2_1588_bp,1,0
epa_result,m54088_170214_101554_29098954_ccs_Otu00487_2_1588_bp,1,0.0007504
epa_result,m54088_170214_101554_44761499_ccs_Otu00365_3_1588_bp,1,0
epa_result,m54088_170214_101554_73925144_ccs_Otu00121_15_1588_bp,1,0.0157898
epa_result,m54088_170216_085445_15991085_ccs_Otu00110_17_1588_bp,1,0
epa_result,m54088_170216_085445_18809347_ccs_Otu00220_8_1588_bp,1,0.00302485
epa_result,m54088_170216_085445_21823776_ccs_Otu00256_6_1588_bp,1,0
epa_result,m54088_170216_085445_28050397_ccs_Otu00297_5_1588_bp,1,0
epa_result,m54088_170216_085445_30278563_ccs_Otu00290_5_1588_bp,1,0.00226515
epa_result,m54088_170216_085445_33752006_ccs_Otu00641_2_1588_bp,1,0
epa_result,m54088_170216_085445_40043093_ccs_Otu00627_2_1588_bp,1,0.00226058
epa_result,m54088_170216_085445_43778918_ccs_Otu00561_2_1588_bp,1,0
epa_result,m54088_170216_085445_46465519_ccs_Otu00189_9_1588_bp,1,0.0100458
epa_result,m54088_170216_085445_50922389_ccs_Otu00203_8_1588_bp,1,0
epa_result,m54088_170216_085445_55247558_ccs_Otu00368_3_1588_bp,1,0
epa_result,m54088_170216_085445_57606393_ccs_Otu00642_2_1588_bp,1,0
epa_result,m54088_170216_085445_62390461_ccs_Otu00509_2_1588_bp,1,0.00317252
epa_result,m54088_170216_085445_66913096_ccs_Otu00160_11_1588_bp,1,0
epa_result,m54088_170216_085445_72155277_ccs_Otu00180_10_1588_bp,1,0.000193443
epa_result,c-1347_conseq_Otu00288_5_1588_bp,1,0.00013628
epa_result,c-2213_conseq_Otu00048_46_1588_bp,1,0
epa_result,c-372_conseq_Otu00117_16_1588_bp,1,0.000861983
epa_result,c-5997_conseq_Otu00062_31_1588_bp,1,0.000233547
epa_result,c-6454_conseq_Otu00031_81_1588_bp,1,0.000140054
epa_result,m54032_170210_154134_12583609_ccs_Otu00323_4_1588_bp,1,0.000762661
epa_result,m54032_170210_154134_30278129_ccs_Otu00077_25_1588_bp,1,0.0260861
epa_result,m54032_170210_154134_62128945_ccs_Otu00412_3_1588_bp,1,0
epa_result,m54032_170210_154134_8847650_ccs_Otu00295_5_1588_bp,1,0.0105786
epa_result,m54088_170214_101554_29885244_ccs_Otu00183_9_1588_bp,1,0
epa_result,m54088_170214_101554_46858937_ccs_Otu00579_2_1588_bp,1,0
epa_result,m54088_170214_101554_63898102_ccs_Otu00629_2_1588_bp,1,0.0004971
epa_result,m54088_170216_085445_11010804_ccs_Otu00482_2_1588_bp,1,0.000791547
epa_result,m54088_170216_085445_13631611_ccs_Otu00452_3_1588_bp,1,2.27168e-05
epa_result,m54088_170216_085445_15532752_ccs_Otu00037_68_1588_bp,1,0.0179653
epa_result,m54088_170216_085445_19268401_ccs_Otu00396_3_1588_bp,1,0.000832164
epa_result,m54088_170216_085445_23069176_ccs_Otu00628_2_1588_bp,1,0.0026747
epa_result,m54088_170216_085445_27001832_ccs_Otu00499_2_1588_bp,1,0
epa_result,m54088_170216_085445_29295581_ccs_Otu00586_2_1588_bp,1,0
epa_result,m54088_170216_085445_33882525_ccs_Otu00500_2_1588_bp,1,0.000396969
epa_result,m54088_170216_085445_37814414_ccs_Otu00517_2_1588_bp,1,0
epa_result,m54088_170216_085445_39584092_ccs_Otu00447_3_1588_bp,1,0.000443426
epa_result,m54088_170216_085445_50725413_ccs_Otu00407_3_1588_bp,1,0.0013933
epa_result,m54088_170216_085445_54526020_ccs_Otu00397_3_1588_bp,1,0
epa_result,m54088_170216_085445_61472932_ccs_Otu00546_2_1588_bp,1,0
epa_result,m54088_170216_085445_65340055_ccs_Otu00490_2_1588_bp,1,0.00112811
epa_result,c-1182_conseq_Otu00244_6_1588_bp,1,0.00171492
epa_result,c-2372_conseq_Otu00344_4_1588_bp,1,0
epa_result,c-3908_conseq_Otu00293_5_1588_bp,1,0
epa_result,c-4893_conseq_Otu00115_16_1588_bp,1,0.0050009
epa_result,c-6421_conseq_Otu00004_935_1588_bp,1,0.000117881
epa_result,c-7917_conseq_Otu00233_7_1588_bp,1,0.00339943
epa_result,m54032_170210_154134_38535521_ccs_Otu00371_3_1588_bp,1,0.00320401
epa_result,m54032_170210_154134_52757196_ccs_Otu00506_2_1588_bp,1,0.000754962
epa_result,m54032_170210_154134_72352254_ccs_Otu00381_3_1588_bp,1,0
epa_result,m54088_170214_101554_54461103_ccs_Otu00443_3_1588_bp,1,0
epa_result,m54088_170214_101554_9044787_ccs_Otu00322_4_1588_bp,1,0
epa_result,m54088_170216_085445_14746128_ccs_Otu00388_3_1588_bp,1,0
epa_result,m54088_170216_085445_19465103_ccs_Otu00367_3_1588_bp,1,0
epa_result,m54088_170216_085445_27984169_ccs_Otu00554_2_1588_bp,1,0
epa_result,m54088_170216_085445_31195377_ccs_Otu00307_4_1588_bp,1,0.000873893
epa_result,m54088_170216_085445_37618562_ccs_Otu00406_3_1588_bp,1,0
epa_result,m54088_170216_085445_43254285_ccs_Otu00359_3_1588_bp,1,0
