LWR	fract	aLWR	afract	taxopath
0.9992	0.001567	0.9992	0.001567	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Chytridiales;Chytridiaceae
0	0	0.103	0.0001616	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales
0	0	0.103	0.0001616	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae
0	0	0.103	0.0001616	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis
0.103	0.0001616	0.103	0.0001616	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis;harderi
0	0	0.9896	0.001552	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Fimicolochytrium
0.9896	0.001552	0.9896	0.001552	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Fimicolochytrium;alabamae
0.5251	0.0008232	105.7	0.1657	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya
1.186	0.001859	39.34	0.06167	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota
0.004296	6.735e-06	31.11	0.04877	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina
0.001492	2.34e-06	11.07	0.01736	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes
0.0004118	6.456e-07	1.777	0.002786	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales
0	0	0.7766	0.001218	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae
0.3307	0.0005185	0.7766	0.001218	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium
0.1115	0.0001748	0.1115	0.0001748	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;macerans
