LWR	fract	aLWR	afract	taxopath
0.02661	4.594e-05	0.02661	4.594e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Ettlia;minuta
0	0	7.96e-05	1.374e-07	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Spongiochloris
7.96e-05	1.374e-07	7.96e-05	1.374e-07	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Spongiochloris;spongiosa
0	0	0.1833	0.0003165	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Gloeocystis
0.1833	0.0003165	0.1833	0.0003165	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Gloeocystis;BCP_ZNP21
0	0	9.414e-05	1.625e-07	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonas
9.414e-05	1.625e-07	9.414e-05	1.625e-07	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonas;Antarctic2E9
0	0	0.03729	6.438e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Stephanosphaera
0.03729	6.438e-05	0.03729	6.438e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Stephanosphaera;UTEX_LB_2409
0	0	1.486e-05	2.565e-08	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chloromonas
1.486e-05	2.565e-08	1.486e-05	2.565e-08	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chloromonas;CCCryo273_06
0	0	0.6008	0.001037	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinopsis
0.6008	0.001037	0.6008	0.001037	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinopsis;A_KF2011
0	0	0.2003	0.0003458	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Palmellopsis
0.2003	0.0003458	0.2003	0.0003458	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Palmellopsis;BCP_EM1VF1
0.6302	0.001088	2.008	0.003467	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales
0	0	0.9983	0.001724	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales;Neochlorosarcina
0.9983	0.001724	0.9983	0.001724	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales;Neochlorosarcina;negevensis
0	0	0.3693	0.0006376	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosarcinopsis
0.3693	0.0006376	0.3693	0.0006376	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosarcinopsis;delicata
0	0	0.009925	1.714e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosphaeropsis
0.009925	1.714e-05	0.009925	1.714e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosphaeropsis;alveolata
0	0	0.04528	7.818e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Incertae_Sedis
0	0	0.04528	7.818e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Incertae_Sedis;Nautococcus
0.04528	7.818e-05	0.04528	7.818e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Incertae_Sedis;Nautococcus;solutus
0	0	0.3398	0.0005867	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Actinochloris
0.3398	0.0005867	0.3398	0.0005867	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Actinochloris;BCP_LG3VF20
0	0	0.999	0.001725	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Sphaeropleales
0.4942	0.0008533	0.999	0.001725	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccus
0.3674	0.0006345	0.3674	0.0006345	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccus;aerius
0.1373	0.0002372	0.1373	0.0002372	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccus;ruber
1.156	0.001995	8.266	0.01427	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae
0	0	2.495	0.004308	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis
0	0	1	0.001727	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coccomyxa
1	0.001727	1	0.001727	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coccomyxa;simplex
0	0	0.9991	0.001725	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Parietochloris
0.9991	0.001725	0.9991	0.001725	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Parietochloris;alveolaris
0	0	0.4002	0.000691	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Muriella
0.4002	0.000691	0.4002	0.000691	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Muriella;terrestris
0.03324	5.739e-05	0.09572	0.0001653	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Neocystis
0.06249	0.0001079	0.06249	0.0001079	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Neocystis;brevis
0	0	0.9545	0.001648	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales
5.867e-05	1.013e-07	0.9545	0.001648	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales;Leptosira
0.4772	0.000824	0.4772	0.000824	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales;Leptosira;erumpens
